reference_id	shortcitation	fullcitation
179475	Penfound 1962	Penfound, W. T. The savanna concept in Oklahoma. Ecology 43(4):774-775.
707491	Salas et al. 2010c	Salas, D. E., T. Folts-Zettner, R. W. Sanders, and J. Drake. 2010c. Vegetation classification and mapping at Chickasaw National Recreation Area. Natural Resource Technical Report NPS/SOPN/NRTR--2010/286. National Park Service, Fort Collins, CO. 176 pp.
182102	Youtie 1990	Youtie, B. A. 1990. Study of fire effects on Stipa-Poa grasslands at Boardman RNA-B. Unpublished report prepared for The Nature Conservancy, Portland, OR.
200273	Daubenmire 1970	Daubenmire, R. F. 1970. Steppe vegetation of Washington. Washington State University Agricultural Experiment Station Technical Bulletin No. 62. 131 pp.
641997	Schafale 2012	Schafale, M. P. 2012. Classification of the natural communities of North Carolina, 4th Approximation. North Carolina Department of Environment, Health, and Natural Resources, Division of Parks and Recreation, Natural Heritage Program, Raleigh.
192127	Cogan et al. 1999	Cogan, D., H. Marriott, J. Von Loh, and M. J. Pucherelli. 1999. USGS-NPS Vegetation Mapping Program, Wind Cave National Park, South Dakota. Technical Memorandum No. 8260-98-08. USDI Bureau of Reclamation Technical Services Center, Denver, CO. 225 pp.
186013	Hansen et al. 1973	Hansen, H. L., L. W. Krefting, and V. Kurmis. 1973. The forest of Isle Royale in relation to fire history and wildlife. University of Minnesota, Agricultural Experiment Station, Technical Bulletin 294, Forestry Series 13.
193803	Heinselman 1996	Heinselman, M. 1996. The Boundary Waters Wilderness Ecosystem. University of Minnesota Press, Minneapolis, MN. 334 pp.
659456	Cogan et al. 2005	Cogan, D., K. Varga, and G. Kittel. 2005. USGS-NPS Vegetation Mapping Program: Grand Teton National Park and John D. Rockefeller, Jr. Memorial Parkway. Final Project Report 2002-2005 Vegetation Mapping Project. Technical Memorandum 8260-06-02. USDI Bureau of Reclamation, Denver, CO. 87 pp. plus Appendixes A-F.
184190	del Moral and Long 1977	del Moral, R., and J. N. Long. 1977. Classification of montane forest community types in the Cedar River drainage of western Washington, U.S.A. Canadian Journal of Forest Research 7(2):217-225.
181484	Monk et al. 1989	Monk, C. D., D. W. Imm, R. L. Potter, and G. G. Parker. 1989. A classification of the deciduous forest of eastern North America. Vegetatio 80:167-181.
190430	Murray 2000	Murray, M. P. 2000. Wetland plant associations of the western hemlock zone in the central coastal and westslope Cascade Mountains. Unpublished report, Oregon Natural Heritage Program, Portland, OR. 82 pp. [http://www.natureserve.org/nhp/us/or/nw_or_wetlands.pdf]
235734	Jankovsky-Jones et al. 1999	Jankovsky-Jones, M., S. K. Rust, and R. K. Moseley. 1999. Riparian reference areas in Idaho: A catalog of plant associations and conservation sites. General Technical Report RMRS-GTR-20. USDA Forest Service, Rocky Mountain Research Station, Ogden, UT. 141 pp.
667303	Schirokauer et al. 2003	Schirokauer, D., T. Keeler-Wolf, J. Meinke, and P. van der Leeden. 2003. Plant community classification and mapping project. Point Reyes National Seashore, Golden Gate National Recreation Area, San Francisco Water Department Watershed Lands, Mount Tamalpais, Tomales Bay, and Samuel P. Taylor State Parks. Final report. California State Department of Fish and Game, Wildlife and Habitat Data Analysis Branch, Sacramento, National Park Service, Point Reyes Station, and Aerial Information Systems, Redlands, CA. 82 pp. [http://biology.usgs.gov/npsveg/pore_goga/index.html]
678281	Davis 2011d	Davis, T. 2011d. Pennsylvania Natural Heritage Program. Many-Fruited Sedge - Bladderwort Poor Fen Factsheet. [http://www.naturalheritage.state.pa.us/Community.aspx?=16008] (accessed February 08, 2012)
185204	Plumb 1988	Plumb, G. A. 1988. An algorithmic approach to automated vegetation mapping of Big Bend National Park, Texas. Ph.D. dissertation, University of Kansas, Lawrence. 449 pp.
175654	Kittel et al. 1997a	Kittel, G., E. Van Wie, and M. Damm. 1997a. A classification of the riparian vegetation of the South Platte Basin (and part of Republican River Basin), Colorado. Submitted to Colorado Department of Natural Resources and the Environmental Protection Agency, Region VIII. Prepared by Colorado Natural Heritage Program, Colorado State University, Fort Collins.
198732	Jones and Walford 1995	Jones, G. P., and G. M. Walford. 1995. Major riparian vegetation types of eastern Wyoming. Submitted to Wyoming Department of Environmental Quality, Water Quality Division. Wyoming Natural Diversity Database, Laramie, WY. 245 pp.
668151	LNHP 2009	LNHP [Louisiana Natural Heritage Program]. 2009. Natural communities of Louisiana. Louisiana Natural Heritage Program, Louisiana Department of Wildlife & Fisheries, Baton Rouge. 46 pp. [http://www.wlf.louisiana.gov/sites/default/files/pdf/page_wildlife/6776-Rare%20Natural%20Communities/LA_NAT_COM.pdf]
182100	Rawinski 1984a	Rawinski, T. 1984a. Natural community description abstract - southern New England calcareous seepage swamp. Unpublished report. The Nature Conservancy, Boston, MA. 6 pp.
649776	Enser and Lundgren 2006	Enser, R. W., and J. A. Lundgren. 2006. Natural communities of Rhode Island. A joint project of the Rhode Island Department of Environmental Management Natural Heritage Program and The Nature Conservancy of Rhode Island. Rhode Island Natural History Survey, Kingston. 40 pp. [www.rinhs.org]
176969	Fisser 1964	Fisser, H. G. 1964. Range survey in Wyoming's Big Horn Basin of Wyoming. Wyoming Agricultural Experiment Station Bulletin 424.
181907	Northwest Resources Co. 1981	Northwest Resources Co. 1981. Grass Creek Mine Application No. 211-T1, on file at Wyoming Department of environmental Quality, Land Quality Division, Cheyenne.
194646	Hess 1981	Hess, K. 1981. Phyto-edaphic study of habitat types of the Arapaho-Roosevelt National Forest, Colorado. Unpublished dissertation, Colorado State University, Fort Collins. 558 pp.
756939	Rice et al. 2012b	Rice, P. M., E. W. Schweiger, W. Gustafson, C. Lea, D. Manier, D. Shorrock, B. Frakes, and L. O'Gan. 2012b. Vegetation classification and mapping project report: Little Bighorn Battlefield National Monument. Natural Resource Report NPS/ROMN/NRR--2012/590. National Park Service, Fort Collins, CO. 147 pp.
181633	Pritchett pers. comm.	Pritchett, D. Personal communication. Ecologist.
200749	MTNHP unpubl. data	MTNHP [Montana Natural Heritage Program]. No date. Unpublished data on file. Montana Natural Heritage Program, Helena, MT.
178158	Schramm 1982	Schramm, D. R. 1982. Floristics and vegetation of the Black Mountains, Death Valley National Monument. Unpublished report prepared for the University of Nevada, Las Vegas.
181458	Tiner 1985a	Tiner, R. W., Jr. 1985a. Wetlands of Delaware. Cooperative publication of USDI Fish & Wildlife Service, National Wetlands Inventory, Newton Corner, MA, and Delaware Department of Natural Resources and Environmental Control, Dover, DE. 77 pp.
477774	Harrison 2004	Harrison, J. W., compiler. 2004. Classification of vegetation communities of Maryland: First iteration. A subset of the International Classification of Ecological Communities: Terrestrial Vegetation of the United States, NatureServe. Maryland Natural Heritage Program, Maryland Department of Natural Resources, Annapolis. 243 pp.
184953	Thomas et al. 2003b	Thomas, K., M. Hansen and C. Seger. 2003b. Vegetation of Petrified Forest National Park, Part I: Vegetation of Petrified Forest National Park. Southwest Biological Science Center, U.S. Geological Survey unpublished report to Petrified Forest National Park.
183275	Williams and Lillybridge 1983	Williams, C. K., and T. R. Lillybridge. 1983. Forested plant associations of the Okanogan National Forest. R6-Ecol-132b-1983. USDA Forest Service, Pacific Northwest Region, Portland, OR. 140 pp.
190602	Steele et al. 1983	Steele, R., S. V. Cooper, D. M. Ondov, D. W. Roberts, and R. D. Pfister. 1983. Forest habitat types of eastern Idaho - western Wyoming. General Technical Report INT-144. USDA Forest Service, Intermountain Forest and Range Experiment Station, Ogden, UT. 122 pp.
196788	Cooper et al. 1987	Cooper, S. V., K. E. Neiman, R. Steele, and D. W. Roberts. 1987. Forest habitat types of northern Idaho: A second approximation. General Technical Report INT-236.USDA Forest Service, Intermountain Research Station, Ogden, UT. 135 pp. [reprinted in 1991]
184047	Harrison 2001	Harrison, J. W. 2001. Herbaceous tidal wetland communities of Maryland's eastern shore: Identification, assessment and monitoring. Report submitted to the U.S. EPA (Clean Water Act 1998 State Wetlands Protection Development Grant Program). Biodiversity Program, Maryland Department of Natural Resources, Wildlife and Heritage Division. 30 June 2001. [U.S. EPA Reference Wetland Natural communities of Maryland's Herbaceous Tidal Wetlands Grant #CD993724].
182424	Kovalchik 1987	Kovalchik, B. L. 1987. Riparian zone associations - Deschutes, Ochoco, Fremont, and Winema national forests. Technical Paper 279-87. USDA Forest Service, Pacific Northwest Region, Portland, OR. 171 pp.
464500	IDCDC 2005	IDCDC [Idaho Conservation Data Center]. 2005. Wetland and riparian plant associations in Idaho. Idaho Conservation Data Center, Idaho Department of Fish and Game, Boise. [http://fishandgame.idaho.gov/tech/CDC/ecology/wetland_riparian_assoc.cfm] (accessed 14 June 2005).
181548	Grimm 1984	Grimm, E. C. 1984. Fire and other factors controlling the Big Woods vegetation of Minnesota in the mid-nineteenth century. Ecological Monographs 54(3):291-311.
182972	White 1986	White, A. S. 1986. Prescribed burning for oak savanna restoration in central Minnesota. Research Paper NC-266. USDA Forest Service, North Central Forest Experiment Station, St. Paul, MN. 12 pp.
178713	Banner et al. 1993	Banner, A., W. MacKenzie, S. Haeussler, S. Thomson, J. Pojar, and R. Trowbridge. 1993. A field guide to site identification and interpretation for the Prince Rupert Forest Region. Ministry of Forests Research Program. Victoria, BC. Parts 1 and 2. Land Management Handbook Number 26.
310942	BCMFRB 2003a	BCMFRB [British Columbia Ministry of Forests Research Branch]. 2003a. Vegetation classification hierarchy: BECMaster May 2003. British Columbia Ministry of Forests, Victoria, BC.
472959	Borchers et al. 1989	Borchers, S. L., J. Wattenbarger, and R. Ament. 1989. Forest plant associations of Montague Island, Chugach National Forest. Unpublished report. USDA Forest Service, Alaska Region, Chugach National Forest, Anchorage, AK. 5 pp.
192831	Myers 1990a	Myers, R. L. 1990a. Scrub and high pine. Pages 150-193 in: R. L. Myers and J. L. Ewel, editors. Ecosystems of Florida. University of Central Florida Press, Orlando.
374772	ONHIC unpubl. data 2018	ONHIC [Ontario Natural Heritage Information Centre]. 2018. Unpublished data. Ontario Natural Heritage Information Centre, Ministry of Natural Resources, Ontario, Canada.
185267	CNDDB 1993	CNDDB [California Natural Diversity Database]. 1993. North Coast sensitive natural community field inventory. June-July 1993. Administrative report on file at California Natural Diversity Database, California Department of Fish and Game, Sacramento.
184507	Muldavin et al. 1993a	Muldavin, E., R. Wallace, and P. Mehlhop. 1993a. Riparian ecological site inventory for New Mexico Bureau Land Management lands. Final Report COOP Agreement F91070-0003, USDI Bureau of Land Management, New Mexico State Office, Santa Fe.
192505	Tolstead 1942	Tolstead, W. L. 1942. Vegetation of the northern part of Cherry County, Nebraska. Ecological Monographs 12(3):257-292.
180543	Kittel et al. 1994	Kittel, G., R. Rondeau, N. Lederer, and D. Randolph. 1994. A classification of the riparian vegetation of the White and Colorado River basins, Colorado. Final report submitted to Colorado Department of Natural Resources and the Environmental Protection Agency. Colorado Natural Heritage Program, Boulder. 166 pp.
200235	Padgett et al. 1989	Padgett, W. G., A. P. Youngblood, and A. H. Winward. 1989. Riparian community type classification of Utah and southeastern Idaho. Research Paper R4-ECOL-89-0. USDA Forest Service, Intermountain Forest and Range Experiment Station, Ogden, UT.
195491	Youngblood et al. 1985a	Youngblood, A. P., W. G. Padgett, and A. H. Winward. 1985a. Riparian community type classification of eastern Idaho-western Wyoming. R4-Ecol-85-01. USDA Forest Service, Intermountain Region, Ogden, UT. 78 pp.
199586	Hansen et al. 1988b	Hansen, P. L., S. W. Chadde, and R. D. Pfister. 1988b. Riparian dominance types of Montana. University of Montana Miscellaneous Publication 49. Montana Forest and Conservation Experiment Station, Missoula. 411 pp.
200256	Padgett et al. 1988b	Padgett, W. G., A. P. Youngblood, and A. H. Winward. 1988b. Riparian community type classification of Utah. Publication R4-ECOL-88-01. USDA Forest Service, Forest and Range Experiment Station, Ogden, UT.
200588	Christy and Cornelius 1980	Christy, J. A., and L. C. Cornelius. 1980. Katherine Ordway Sycan Marsh Preserve: Preliminary classification of plant communities. The Nature Conservancy, Oregon Field Office, Portland.
468654	Titus and Christy 1996a	Titus, J. H., and J. A. Christy. 1996a. Vegetation of Big Marsh, Deschutes National Forest, Oregon. Report to Deschutes National Forest. Oregon Natural Heritage Program, The Nature Conservancy, Portland.
182283	Gawler 2002	Gawler, S. C. 2002. Natural landscapes of Maine: A guide to vegetated natural communities and ecosystems. Maine Natural Areas Program, Department of Conservation, Augusta, ME.
185660	Berrill and Berrill 1981	Berrill, M., and D. Berrill. 1981. A Sierra Club naturalists' guide, the North Atlantic Coast: Cape Cod to Newfoundland. Sierra Club Books, San Francisco, CA.
193337	Nichols 1920	Nichols, G. E. 1920. The vegetation of Connecticut: III. The associations of depositing areas along the seacoast. Bulletin of the Torrey Botanical Club 47:511-548.
194686	Coleman and Mathieson 1975	Coleman, D. C., and A. C. Mathieson. 1975. Investigations of New England marine algae. VII: Seasonal occurrence and reproduction of marine algae near Cape Cod, Massachusetts. Rhodora 77:76-104.
179924	Ramaley 1942	Ramaley, F. 1942. Vegetation of the San Luis Valley in southern Colorado. University of Colorado Studies, Series D, 1:231-277.
190066	Patterson et al. 1994	Patterson, K. D., D. J. Allard, and S. Landaal. 1994. Rare plant communities of the conterminous United States: Southeastern region. Pages 105-210 in: D. H. Grossman, K. Lemon Goodin, and C. L. Reuss, editors. Rare plant communities of the conterminous United States: An initial survey. The Nature Conservancy, Arlington, VA.
620869	Vanderhorst et al. 2008	Vanderhorst, J. P., B. P. Streets, J. Jeuck, and S. C. Gawler. 2008. Vegetation classification and mapping of Bluestone National Scenic River, West Virginia. Technical Report NPS/NER/NRTR--2008/106. National Park Service, Philadelphia, PA.
176175	Blackburn et al. 1969d	Blackburn, W. H., P. T. Tueller, and R. E. Eckert, Jr. 1969d. Vegetation and soils of the Pine and Mathews Canyon watersheds. Nevada Agricultural Experiment Station Bulletin R-46. Reno. 111 pp.
194126	Baker 1989b	Baker, W. L. 1989b. Classification of the riparian vegetation of the montane and subalpine zones in western Colorado. Great Basin Naturalist 49(2):214-228.
197965	Hess and Alexander 1986	Hess, K., and R. R. Alexander. 1986. Forest vegetation of the Arapaho and Roosevelt national forests in northcentral Colorado: A habitat type classification. Research Paper RM-266. USDA Forest Service, Rocky Mountain Forest and Range Experiment Station, Fort Collins, CO. 48 pp.
181910	Diamond and Smeins 1988	Diamond, D. D., and F. E. Smeins. 1988. Gradient analysis of remnant true and upper coastal prairie grasslands of North America. Canadian Journal of Botany 66:2152-2161.
176721	Soil Conservation Service 1978	Soil Conservation Service. 1978. Range site descriptions for Colorado. Technical Guide, Section II-E. USDA Soil Conservation Service, Colorado State Office, Denver.
191294	Bichel 1959	Bichel, M. A. 1959. Investigations of a Nebraska and a Colorado prairie and their impact on the relict concept. Unpublished dissertation, University of Nebraska, Lincoln. 180 pp.
191363	Branson et al. 1964	Branson, F. A., R. F. Miller, and I. S. McQueen. 1964. Effects of two kinds of geologic materials on plant communities and soil moisture. American Society of Agronomy Special Publication 5:165-175.
197418	Branson et al. 1961	Branson, F. A., R. F. Miller, and I. S. McQueen. 1961. Soil-water availability and use by grasslands on adjacent stony and shale-derived soils in Colorado. Short papers in geologic and hydrologic sciences. U.S. Geological Survey Professional Paper 424C:251-253.
182442	Seyer 1984	Seyer, S. 1984. Inventory of Guard Slough wild-rye stand. Unpublished report prepared for Oregon Natural Heritage Program, Portland, OR.
185155	WNHP 2002	WNHP [Washington Natural Heritage Program]. 2002. Unpublished riparian and wetland association occurrence and plot data on file at Washington Natural Heritage Program, Washington State Department of Natural Resources, Olympia, WA.
186207	Nez Perce National Forest 1999b	Nez Perce National Forest. 1999b. Riparian ECODATA plots, 1987-1995. Unpublished data on file at the Idaho Conservation Data Center, Idaho Department of Fish and Game, Boise, ID.
199843	Bacon 1993	Bacon, P. R. 1993. Mangroves in the Lesser Antilles, Jamaica, and Trinidad and Tobago. Pages 155-9 in: L. D. Lacerda, coordinator. Conservation and sustainable utilization of mangrove forests in Latin America and Africa Regions. Int. Tropical Timber Organ.
200094	Burns and Honkala 1990a	Burns, R. M., and B. H. Honkala, technical coordinators. 1990a. Silvics of North America: Volume 1. Conifers. Agriculture Handbook 654. USDA Forest Service, Washington, DC. 675 pp.
707492	White 2004	White, Jr., R. D. 2004. Vascular plant inventory and plant community classification for Cowpens National Battlefield. NatureServe, Durham, NC. 126 pp.
678102	Oakley et al. 2003	Oakley, K. L., L. P. Thomas, and S. G. Fancy. 2003. Guidelines for long-term monitoring protocols. Wildlife Society Bulletin 31(4):1000-1003.
756775	Buck-Diaz et al. 2012	Buck-Diaz, J., S. Batiuk, and J. M. Evens. 2012. Vegetation alliances and associations of the Great Valley ecoregion, California. California Native Society, Sacramento, CA. [http://cnps.org/cnps/vegetation/pdf/great_valley_eco-vegclass2012.pdf]
176112	Dealy 1978	Dealy, J. E. 1978. Autecology of curlleaf mountain mahogany (Cercocarpus ledifolius). Pages 398-400 in: Proceedings of the First International Rangeland Congress. Society of Range Management, Denver, CO.
197304	Olgeirson 1974	Olgeirson, E. R. 1974. Parallel conditions and trends in vegetation and soil on a bald near treeline, Boreas Pass, Colorado. Arctic and Alpine Research 6:185-203.
184568	Burdant et al. 1977	Burdant, C. L., Jr., E. S. Nixon, and R. L. Willett. 1977. Woody vegetation of an inland heronry in East Texas. Southwestern Naturalist 21:475-486.
195464	Illinois Nature Preserve Commission 1973	Illinois Nature Preserve Commission. 1973. Comprehensive plan for the Illinois nature preserves system, part 2: The natural divisions of Illinois, J. E. Schwegman, principal author. 32 pp.
195707	Wharton 1989	Wharton, C. H. 1989. The natural environments of Georgia. Georgia Dep. of Natural Resources. Bulletin 114:75-80.
182743	Burk 1977	Burk, J. H. 1977. Sonoran Desert vegetation. Pages 869-889 in: M. G. Barbour and J. Major, editors. Terrestrial vegetation of California. John Wiley and Sons, New York.
198889	Ogilvie 1962	Ogilvie, R. T. 1962. Ecology of spruce forests on the east slope of the Rocky Mountains in Alberta. Unpublished dissertation, Washington State University, Pullman. 189 pp.
175677	Clary and Pearson 1969	Clary, W. P., and H. A. Pearson. 1969. Cattle preferences for forage species in northern Arizona. Journal of Range Management 22(2):114-116.
186618	Johnson 1953	Johnson, W. M. 1953. Effect of grazing intensity upon vegetation and cattle gains on ponderosa pine-bunchgrass ranges of the Front Range of Colorado. USDA Circular Number 929. 36 pp.
513517	Weakley 2007	Weakley, A. S. 2007. Flora of the Carolinas, Virginia, Georgia, and surrounding areas. Unpublished working draft of 11 January 2007. University of North Carolina Herbarium (NCU), North Carolina Botanical Garden, University of North Carolina, Chapel Hill. [http://www.herbarium.unc.edu/flora.htm]
624189	Govus 1998	Govus, T. E. 1998. Fort Pulaski National Monument Inventory. Final report. Purchase Order # 1443PX509097564. Prepared for National Park Service, Southeast Region, Atlanta, GA. 33 pp. plus appendices and maps.
196523	TNC 1997a	TNC [The Nature Conservancy]. 1997a. Vegetation classification of Assateague Island National Seashore and Chincoteague National Wildlife Refuge. Report to the NBS/NPS Vegetation Mapping Program. The Nature Conservancy. Eastern Regional Office, Boston, MA.
194106	Hoagland 1998c	Hoagland, B. W. 1998c. Oklahoma riparian vegetation. In: A. Fallon and M. Smolen, editors. Riparian area management handbook. Publication number E-952. Oklahoma Cooperative Extension Service, Oklahoma State University, Stillwater.
200633	Smeins and Diamond 1983	Smeins, F. E., and D. D. Diamond. 1983. Remnant grasslands of the Fayette Prairie, Texas. The American Midland Naturalist 110:1-13.
182904	Sytsma and Pippen 1981b	Sytsma, K. J., and R. W. Pippen. 1981b. The Hampton Creek wetland complex in southwestern Michigan. I. History and physical features. The Michigan Botanist 20:137-142.
184756	Sytsma and Pippen 1981a	Sytsma, K. J., and R. W. Pippen. 1981a. The Hampton Creek wetland complex in southwestern Michigan. II. Community classification. The Michigan Botanist 20:147-156.
215405	Damm 2001	Damm, C. 2001. A phytosociological study of Glacier National Park, Montana, U. S. A., with notes on the syntaxonomy of alpine vegetation in western North America. Dissertation from Georg - August University, Germany. 297 pp. plus appendices.
712637	Findley 1987	Findley, J. S. 1987. The Natural History of New Mexican Mammals. University of New Mexico Press, Albuquerque, NM. 253 pp.
198829	Johnston 1984	Johnston, B. C. 1984. Plant associations of Region Two. Edition 3.5. USDA Forest Service, Rocky Mountain Region. Lakewood, CO.
191978	Jankovsky-Jones 1996	Jankovsky-Jones, M. 1996. Conservation strategy for Henry's Fork basin wetlands. Idaho Conservation Data Center, Idaho Department of Fish and Game, Boise, ID. 30 pp. plus appendices.
188612	Cole 1982	Cole, D. N. 1982. Vegetation of two drainages in Eagle Cap Wilderness, Wallowa Mountains, Oregon. Research Paper INT-288. USDA Forest Service, Intermountain Forest and Range Experiment Station, Ogden, UT. 26 pp.
722173	Lea et al. 2013	Lea, C., B. Waltermire, and C. Nordman. 2013. Vegetation classification and mapping, Vicksburg National Military Park, Mississippi. Natural Resource Technical Report NPS/GULN/NRTR--2013/710. National Park Service, Fort Collins, CO.
195039	Tatina 1987	Tatina, R. 1987. Gradient analysis and description of a transition zone prairie in eastern South Dakota. Proceedings of the South Dakota Academy of Science 66:51-64.
181948	Hazell 1965	Hazell, D. B. 1965. The claypan range site in northern Osage County, Oklahoma. Journal of Range Management 18:94-96.
198399	Hazell 1967	Hazell, D. B. 1967. Effect of grazing intensity on plant composition, vigor and production. Journal of Range Management 20:249-254.
201174	Muldavin et al. 1994a	Muldavin, E., P. Mehlhop, and E. DeBruin. 1994a. A survey of sensitive species and vegetation communities in the Organ Mountains of Fort Bliss. Volume III: Vegetation communities. Report prepared for Fort Bliss, Texas, by New Mexico Natural Heritage Program, Albuquerque.
185675	Keeler-Wolf pers. comm.	Keeler-Wolf, T. Personal communication. Senior Vegetation Ecologist, Wildlife and Habitat Data Analysis Branch, California Department of Fish and Game, Sacramento, CA.
184364	Costello 1944b	Costello, D. F. 1944b. Important species of the major forage types in Colorado and Wyoming. Ecological Monographs 14:107-134.
187864	Ralston 1969	Ralston, G. L. 1969. Plant zonation on dune sands of Washoe Lake, Washoe County, Nevada. Unpublished thesis, University of Nevada, Reno.
192905	Crouch 1961a	Crouch, G. L. 1961a. Wildlife populations and habitat conditions on grazed and ungrazed bottomlands in Logan County, Colorado. Unpublished thesis, Colorado State University, Fort Collins.
515035	Pickart 2006	Pickart, A. J. 2006. Vegetation of diked herbaceous wetlands of Humboldt Bay National Wildlife Refuge: Classification, description, and ecology. USDI Fish and Wildlife Service. Humboldt Bay National Wildlife Refuge, Arcata, CA.
667302	Kittel et al. 2012a	Kittel, G., E. Reyes, J. Evens, J. Buck, and D. Johnson. 2012a. Vegetation classification and mapping project report, Pinnacles National Monument. Natural Resource Report NPS/SFAN/NRR-2012/574. National Park Service, Fort Collins, CO. 428 pp.
761516	Solomeshch and Barbour 2006	Solomeshch, A., and M. Barbour. 2006. Defining restoration targets for Great Valley Grassland State Park. Grasslands 16:1, 12-17.
766582	CNPS 2015b	CNPS [California Native Plant Society]. 2015b. Inventory of Rare and Endangered Plants (online edition, v8-02). Rare Plant Program, California Native Plant Society, Sacramento, CA. [http://www.rareplants.cnps.org].
197112	Lewis 1970	Lewis, M. E. 1970. Alpine rangelands of the Uinta Mountains, Ashley and Wasatch national forests, Region 4 of the USDA Forest Service. Unpublished report mimeographed for USDA Forest Service, Region IV, Ogden, UT. 75 pp.
184589	Harvey 1982	Harvey, S. J. 1982. Vegetation of Musselshell and Petroleum counties, Montana. Unpublished report to USDA Soil Conservation Service, Roundup, MT. 27 pp.
200428	Christensen 1963	Christensen, E. M. 1963. The foothill bunchgrass vegetation of central Utah. Ecology 44(1):156-158.
201929	Stoddart 1941	Stoddart, L. A. 1941. The palouse grassland association in northern Utah. Ecology 22(2):158-163.
215406	Achuff et al. 1997	Achuff, P. L., R. L. McNeil, and M. L. Coleman. 1997. Chapter III-Vegetation. Pages 28-93 in: P. L. Achuff, R. L. McNeil, and M. L. Coleman. Ecological land classification of Waterton Lakes National Park, Alberta. Parks Canada, Waterton Lakes National Park. 250 pp. plus maps.
