USFS_ECOREGION_ID	PARENT_USFS_ECOREGION_ID	D_USFS_ECOREGION_LEVEL_ID	USFS_ECOREGION_NAME	USFS_ECOREGION_CLASS_CD	USFS_ECOREGION_CONCAT_CD
1029	114	4	Bear Lake Section	E	342E
1030	122	4	Bighorn Mountains Section	B	M331B
1031	119	4	Central Great Basin Mountains Section	A	M341A
1032	125	4	Lahontan Basin Section	E	341E
1033	120	4	Palouse Prairie Section	A	331A
1034	105	4	Middle Atlantic Coastal Plain Section	A	232A
1035	113	4	Texas High Plains Section	B	315B
1036	116	4	Sonoran Desert Section	B	322B
1037	135	4	Stockton Plateau Section	B	321B
1038	113	4	Rio Grande Plain Section	E	315E
1039	114	4	High Lava Plains Section	H	342H
1040	136	4	South-Central Great Plains Section	E	332E
1041	102	4	Central Loess Plains Section	G	251G
1042	103	4	Ozark Highlands Section	A	222A
1043	117	4	Belt Mountains Section	D	M332D
1044	114	4	Central Basin and Hills Section	F	342F
1045	136	4	Nebraska Sand Hills Section	C	332C
1046	120	4	Northwestern Glaciated Plains Section	D	331D
1047	122	4	North-Central Highlands Section	H	M331H
1048	120	4	Southern High Plains Section	B	331B
1049	103	4	Upper Gulf Coastal Plain Section	C	222C
1050	128	4	Central Ridge and Valley Section	J	221J
1051	105	4	Florida Coastal Lowlands (Western) Section	D	232D
1053	115	4	Western Superior Uplands Section	K	212K
1054	124	4	Modoc Plateau Section	G	M261G
1056	103	4	North Central U.S. Driftless and Escarpment Section	L	222L
1057	134	4	Vermont-New Hampshire Upland Section	B	M212B
1059	125	4	Southeastern Great Basin Section	F	341F
1060	137	4	Sacramento-Monzano Mountain Section	B	M313B
1062	116	4	Colorado Desert Section	C	322C
1063	117	4	Bitterroot Valley Section	B	M332B
1064	138	4	Great Valley Section	A	262A
1066	102	4	Flint Hills Section	F	251F
1068	125	4	Northern Canyon Lands Section	B	341B
1069	119	4	Utah High Plateaus and Mountains Section	C	M341C
1071	103	4	Lake Modified Till Section	N	222N
1072	120	4	Central High Tablelands Section	C	331C
1074	115	4	Lake Michigan Section	O	212O
1075	134	4	Tug Hill Plateau Section	F	M212F
1076	130	4	Dry-Humid Mountains Section	A	M411A
1078	103	4	Lake Erie Section	Q	222Q
1079	128	4	Northern Cumberland Plateau Section	H	221H
1081	115	4	Lake Superior Section	I	212I
1083	131	4	Northern Gulf Section	A	M245A
1084	131	4	Northern Alexander Archipelago Section	B	M245B
1085	131	4	Southern Alexander Archipelago Section	C	M245C
1087	104	4	Arkansas Valley Section	G	231G
1088	135	4	Basin and Range Section	A	321A
1090	115	4	Aroostook Hills and Lowlands Section	A	212A
1091	117	4	Beaverhead Mountains Section	E	M332E
1093	122	4	Yellowstone Highlands Section	A	M331A
1094	123	4	Northern Ridge and Valley Section	A	M221A
1095	122	4	Northern Parks and Ranges Section	I	M331I
1097	128	4	Northern Appalachian Piedmont Section	D	221D
1098	120	4	Central High Plains Section	H	331H
1100	101	4	Everglades Section	A	411A
1101	118	4	Grand Canyon Lands Section	A	313A
1103	104	4	Southern Cumberland Plateau Section	C	231C
1104	112	4	Blackland Prairies Section	B	255B
1106	117	4	Idaho Batholith Section	A	M332A
1107	120	4	Northern Glaciated Plains Section	E	331E
1109	115	4	Maine-New Brunswick Foothills and Lowlands Section	B	212B
1110	115	4	Northern Minnesota Drift and Lake Plains Section	N	212N
1112	103	4	Minnesota and Northeast Iowa Morainal Section	M	222M
1113	134	4	Green, Taconic, Berkshire Mountain Section	C	M212C
1114	115	4	Northern Glaciated Allegheny Plateau Section	F	212F
1116	114	4	Greater Green River Basin Section	G	342G
1117	124	4	Sierra Nevada Foothills Section	F	M261F
1119	125	4	Uinta Basin Section	C	341C
1120	109	4	Central California Coast Ranges Section	A	M262A
1121	103	4	Interior Low Plateau, Shawnee Hills Section	D	222D
1122	106	4	Redbed Plains Section	A	311A
1123	102	4	Osage Plains Section	E	251E
1124	122	4	Southern Parks and Ranges Section	F	M331F
1125	118	4	Navajo Canyonlands Section	B	313B
1126	105	4	Atlantic Coastal Flatwoods Section	C	232C
1127	110	4	Ouachita Mountains Section	A	M231A
1128	112	4	Oak Woods and Prairies Section	C	255C
1129	133	4	Okanogan Highlands Section	A	M333A
1130	115	4	Southern Superior Uplands Section	J	212J
1131	114	4	Owyhee Uplands Section	C	342C
1132	124	4	Klamath Mountains Section	A	M261A
1133	113	4	Rolling Plains Section	C	315C
1134	117	4	Challis Volcanics Section	F	M332F
1135	103	4	Erie and Ontario Lake Plain Section	I	222I
1136	136	4	North-Central Great Plains Section	D	332D
1137	128	4	Southern Unglaciated Allegheny Plateau Section	E	221E
10231	1049	5	Upper Loam Hills Subsection	g	222Cg
10232	1161	5	Darby Plains Subsection	e	222He
10233	1015	5	Rock River Old Drift Country Subsection	h	222Kh
10235	1073	5	Schist Hills Subsection	g	231Ag
10236	1023	5	East Texas Timberlands-Cross Timbers Subsection	n	231En
10238	1126	5	Bacon Terraces Subsection	f	232Cf
10239	1010	5	Baton Rouge Terrace Subsection	d	234Ad
10241	1159	5	Kankakee Sands Subsection	g	251Dg
10242	1170	5	Cross Timbers, Cherokee Prairies Subsection	a	255Aa
10243	1028	5	Adirondack Highlands and Lakes Subsection	c	M212Dc
10245	1092	5	St. Lawrence Glacial Lake Plain Subsection	e	212Ee
10246	1157	5	Agassiz Lowlands Subsection	b	212Mb
10247	1042	5	Gasconade River Hills Subsection	d	222Ad
10249	1055	5	Iona Moraines Subsection	c	222Jc
10250	1015	5	Lake Winnebago Clay Plain Subsection	c	222Kc
10252	1130	5	Perkinstown End Moraine Subsection	f	212Jf
10253	1148	5	Taconic Foothills Subsection	b	221Bb
10254	1137	5	Pittsburgh Low Plateau Subsection	a	221Ea
10256	1121	5	Marion Hills Subsection	d	222Dd
10257	1121	5	Crawford Uplands Subsection	e	222De
10259	1061	5	Black Belt Subsection	a	231Ba
10260	1103	5	Southern Cumberland Valley Subsection	f	231Cf
10261	1034	5	Long Island Coastal Lowland and Moraine Subsection	a	232Aa
10263	1162	5	Sabine Alluvial Valley Subsection	c	232Fc
10264	1171	5	Eastern Beach and Dunes Subsection	b	232Gb
10266	1159	5	Western Grand Prairie Subsection	b	251Db
10267	1123	5	Elk Prairie Subsection	d	251Ed
10269	1121	5	Northern Dripping Springs Subsection	j	222Dj
10270	1012	5	Gulf Coast Marshes and Inland Bays Subsection	b	232Eb
10272	1173	5	East Mississippi River Hills Subsection	i	251Ci
10273	1144	5	Brazos and Brazonia Alluvial Valley Subsection	b	255Db
1138	120	4	Arkansas Tablelands Section	I	331I
1139	116	4	Mojave Desert Section	A	322A
1140	128	4	Southern Cumberland Mountains Section	I	221I
1141	104	4	Southern Ridge and Valley Section	D	231D
1142	115	4	Central Maine Coastal and Embayment Section	D	212D
1143	115	4	Northern Great Lakes Section	H	212H
1144	112	4	Central Gulf Prairies and Marshes Section	D	255D
1145	121	4	Willamette Valley and Puget Trough Section	A	242A
1146	133	4	Bitterroot Mountains Section	D	M333D
1147	114	4	Northwestern Basin and Range Section	B	342B
1148	128	4	Hudson Valley Section	B	221B
1150	123	4	Blue Ridge Mountains Section	D	M221D
1151	105	4	Coastal Plains and Flatwoods, Lower Section	B	232B
1153	120	4	Powder River Basin Section	G	331G
1154	136	4	Western Glaciated Plains Section	B	332B
1156	127	4	Western Cascades Section	B	M242B
1157	115	4	Northern Minnesota and Ontario Section	M	212M
1159	102	4	Central Till Plains Section	D	251D
1160	128	4	Upper Atlantic Coastal Plain Section	C	221C
1162	105	4	Coastal Plains and Flatwoods, Western Gulf Section	F	232F
1163	104	4	Eastern Gulf Prairies and Marshes Section	F	231F
1164	134	4	White Mountain Section	A	M212A
1166	109	4	Southern California Mountains and Valleys Section	B	M262B
1167	113	4	Southern Gulf Prairies and Marshes Section	F	315F
1169	103	4	Central Till Plains, Oak-Hickory Section	G	222G
1170	112	4	Cross Timbers and Prairie Section	A	255A
1172	120	4	Northwestern Great Plains Section	F	331F
1173	102	4	Central Dissected Till Plains Section	C	251C
1175	111	4	Southern California Coast Section	B	261B
1176	118	4	Painted Desert Section	D	313D
10002	1008	5	Western Coalfields Subsection	a	M221Ca
10003	1102	5	The Boston Mountain Subsection	a	M222Aa
10004	1102	5	Boston Hills Subsection	b	M222Ab
10006	1021	5	North Shore Highlands Subsection	b	212Lb
10007	1074	5	Lake Michigan and Islands Subsection	a	212Oa
10009	1042	5	St. Francis Knobs and Basins Subsection	a	222Aa
10010	1089	5	Penneroyal Karst Plain Subsection	h	222Eh
10012	1143	5	Cadillac End Moraines Subsection	s	212Hs
10013	1056	5	Mineral Point Prairie-Savannah Subsection	e	222Le
10015	1061	5	Transition Loam Hills Subsection	e	231Be
10016	1103	5	Table Plateau Subsection	c	231Cc
10017	1141	5	Shaley Limestone Valley Subsection	e	231De
10019	1104	5	Blackland Prairie Subsection	a	255Ba
10020	1057	5	Sunapee Uplands Subsection	c	M212Bc
10022	1076	5	Interior Plateau Subsection	b	M411Ab
10023	1143	5	Hart Outwash and Lake Sands Subsection	x	212Hx
10024	1109	5	Central Maine Foothills Subsection	a	212Ba
10026	1130	5	Northern Highlands Pitted Outwash Subsection	m	212Jm
10027	1130	5	Michigamme Highland Subsection	r	212Jr
10029	1110	5	Chippewa Plains Subsection	a	212Na
10030	1042	5	Outer Ozark Border Subsection	k	222Ak
10032	1018	5	Inner Bluegrass Subsection	b	222Fb
10033	1055	5	Huron Clay Lake and Till Plain Subsection	e	222Je
10034	1130	5	Neillsville Sandstone Plateau Subsection	h	212Jh
10035	1015	5	Southern Green Bay Lobe Subsection	e	222Ke
10036	1015	5	Geneva-Darien Moraines and Till Plains Subsection	f	222Kf
10037	1112	5	Rosemont-Baldwin Plains and Moraines Subsection	d	222Md
10038	1061	5	Middle Coastal Plain, Deep Loess Plains Subsection	i	231Bi
10039	1151	5	Southern Loessial Plains Subsection	b	232Bb
10040	1151	5	Lower Loam and Clay Hills Subsection	l	232Bl
10041	1151	5	Sand Hills Subsection	q	232Bq
10042	1126	5	Okefenokee Uplands Subsection	c	232Cc
10043	1010	5	Crowley's Ridge Subsection	b	234Ab
10424	1142	5	Central Maine Embayment Subsection	a	212Da
10426	1061	5	Northern Loessial Hills Subsection	g	231Bg
10427	1141	5	Sandstone Ridge Subsection	c	231Dc
10429	1034	5	Long Island Sound Subsection	f	232Af
10430	1151	5	Southern Loam Hills Subsection	j	232Bj
10431	1123	5	Central Tallgrass Subsection	c	251Ec
10433	1170	5	Cross Timbers - Southern Oklahoma Subsection	f	255Af
10434	1128	5	Trinity Alluvial Valley Subsection	e	255Ce
10435	1128	5	Southern Texas Claypan Savannah Subsection	g	255Cg
10437	1113	5	Taconic Mountains Subsection	b	M212Cb
10438	1094	5	Northern Great Valley Subsection	d	M221Ad
10440	1017	5	Allegheny Deep Valleys Subsection	b	212Gb
10441	1142	5	Casco Bay Coast Subsection	c	212Dc
10442	1143	5	Kalkaska Moraines Subsection	y	212Hy
10444	1097	5	Piedmont Upland Subsection	b	221Db
10445	1042	5	Illinois Ozarks Subsection	q	222Aq
10447	1173	5	Lower Platte Valley Subsection	n	251Cn
10448	1089	5	Mitchel Karst Plains Subsection	k	222Ek
10450	1135	5	Eastern Ontario Lake Plain Subsection	e	222Ie
10451	1055	5	Kalamazoo-Elkhart Moraines and Plains Subsection	h	222Jh
10453	1076	5	Southern Karst Plain, Lowlands, and Islands Subsection	e	M411Ae
10454	1019	5	Lower Connecticut River Valley Subsection	f	221Af
10456	1121	5	Crawford Escarpment Subsection	f	222Df
10457	1135	5	Maumee Lake Plain Subsection	f	222If
10459	1061	5	Middle Coastal Plain, Deep Loess Hills and Bluffs Subsection	h	231Bh
10460	1023	5	Southwestern Arkansas Blackland Prairies Subsection	k	231Ek
10462	1151	5	Florida Central Highlands Subsection	f	232Bf
10463	1162	5	Neches Alluvial Valley Subsection	d	232Fd
10464	1173	5	York Plains Subsection	o	251Co
10465	1159	5	Kankakee Marsh Subsection	h	251Dh
10466	1170	5	Central Oklahoma Cross Timbers Subsection	b	255Ab
10467	1113	5	Berkshire-Vermont Upland Subsection	c	M212Cc
10468	1019	5	Hudson Highlands Subsection	e	221Ae
10469	1079	5	Rugged Eastern Hills Subsection	a	221Ha
10470	1173	5	Northeast Nebraska Rolling Hills Subsection	m	251Cm
10471	1164	5	St. John Upland Subsection	b	M212Ab
10472	1094	5	Northern Ridge and Valley Subsection	c	M221Ac
10473	1076	5	Northern Karst Plain Subsection	a	M411Aa
10474	1143	5	West Green Bay Till Plain Subsection	b	212Hb
10475	1042	5	Meramac River Hills Subsection	e	222Ae
10476	1121	5	Greater Shawnee Hills Subsection	h	222Dh
10477	1056	5	Menominee Eroded Pre-Wisconsinan Till Subsection	a	222La
10478	1103	5	Sequatchie Valley Subsection	g	231Cg
10479	1151	5	Southwestern Loam Hills Subsection	u	232Bu
10480	1151	5	Northern Loam Plains Subsection	v	232Bv
10481	1042	5	Osage River Hills Subsection	c	222Ac
10482	1049	5	Cretaceous Hills Subsection	a	222Ca
10483	1034	5	Western Chesapeake Upland Subsection	d	232Ad
10484	1151	5	Gulf Southern Loam Hills Subsection	h	232Bh
10485	1171	5	Eastern Beach and Lagoons Subsection	a	232Ga
10486	1126	5	Upper Terraces Subsection	a	232Ca
10487	1055	5	Saginaw Clay Lake and Till Plain Subsection	d	222Jd
10488	1111	5	Northwest Iowa Plains Subsection	d	251Bd
10489	1126	5	Lower Terraces Subsection	b	232Cb
4		1	Polar Domain		
31	4	2	Subarctic Division		
32	4	2	Subarctic Regime Mountains		
33	4	2	Tundra Division		
34	4	2	Tundra Regime Mountains		
105	24	3	Outer Coastal Plain Mixed Forest Province	232	232
108	18	3	Ozark Broadleaf Forest - Meadow Province	M222	M222
112	23	3	Prairie Parkland (Subtropical) Province	255	255
116	14	3	American Semi-Desert and Desert Province	322	322
119	11	3	Nevada-Utah Mountains Semi-Desert - Coniferous Forest - Alpine Meadow Province	M341	M341
124	22	3	Sierran Steppe - Mixed Forest - Coniferous Forest - Alpine Meadow Province	M261	M261
129	21	3	California Coastal Steppe, Mixed Forest, and Redwood Forest Province	263	263
