usfs_ecoregion_2007_id	parent_usfs_ecoregion_2007_id	d_usfs_ecoregion_level_id	usfs_ecoregion_2007_name	usfs_ecoregion_2007_concat_cd
352	94	5	Manitowoc Till Plain Subsection	212Zc
353	95	5	Boston Basin Subsection	221Aa
354	95	5	Cape Cod Coastal Lowland and Islands Subsection	221Ab
355	95	5	Narragansett-Bristol Lowland and Islands Subsection	221Ac
356	95	5	Southern New England Coastal Lowland Subsection	221Ad
357	95	5	Hudson Highlands Subsection	221Ae
358	95	5	Lower Connecticut River Valley Subsection	221Af
359	95	5	Southeast New England Coastal Hills and Plains Subsection	221Ag
360	95	5	Worcester-Monadnock Plateau Subsection	221Ah
361	95	5	Gulf of Maine Coastal Plain Subsection	221Ai
362	95	5	Gulf of Maine Coastal Lowland Subsection	221Ak
363	95	5	Sebago-Ossipee Hills and Plains Subsection	221Al
364	95	5	Reading Prong Subsection	221Am
365	95	5	Long Island Coastal Lowland and Moraine Subsection	221An
366	96	5	Hudson Limestone Valley Subsection	221Ba
367	96	5	Taconic Foothills Subsection	221Bb
368	96	5	Hudson Glacial Lake Plains Subsection	221Bc
369	96	5	Kittatinny-Shawangunk Ridges Subsection	221Bd
370	97	5	Gettysburg Piedmont Lowland Subsection	221Da
371	97	5	Piedmont Upland Subsection	221Db
372	97	5	Newark Subsection	221Dc
373	97	5	Triassic Basins Subsection	221Dd
374	97	5	Northern Piedmont Subsection	221De
375	98	5	Pittsburg Low Plateau Subsection	221Ea
376	98	5	Teays Plateau Subsection	221Eb
377	98	5	Ohio Valley Lowland Subsection	221Ec
378	98	5	East Hocking Plateau Subsection	221Ed
379	98	5	Unglaciated Muskingam Plains Subsection	221Ee
380	98	5	Western Hocking Plateau Subsection	221Ef
381	98	5	Lower Scioto River Plateau Subsection	221Eg
382	98	5	Eastern Knobs Transition Subsection	221Ej
383	98	5	Kinniconick and Licking Knobs Subsection	221En
384	99	5	Allegheny Plateau Subsection	221Fa
385	99	5	Grand River-Pymatuning Lowlands Subsection	221Fb
386	99	5	Akron Kames Subsection	221Fc
387	100	5	Rugged Eastern Hills Subsection	221Ha
388	100	5	Kinniconick and Licking Knobs Subsection	221Hb
389	100	5	Southwestern Escarpment Subsection	221Hc
390	100	5	Sequatchie Valley Subsection	221Hd
391	100	5	Miami-Scioto Plain-Tipton Till Plain Subsection	221He
392	101	5	Rolling Limestone Hills Subsection	221Ja
393	101	5	Sandstone Hills Subsection	221Jb
394	101	5	Holston Valley Subsection	221Jc
395	102	5	Bluffton Till Plains Subsection	222Ha
396	102	5	Miami-Scioto Plain-Tipton Till Plain Subsection	222Hb
397	102	5	Little Miami Old Drift Plain Subsection	222Hc
398	102	5	Mad River Interlobate Plains Subsection	222Hd
399	102	5	Darby Plains Subsection	222He
400	102	5	Entrenched Valleys Subsection	222Hf
401	103	5	Lake Erie Plain Subsection	222Ia
402	103	5	Erie-Ontario Lake Plain Subsection	222Ib
403	103	5	Eastern Ontario Till Plain Subsection	222Ic
404	103	5	Cattaraugus Finger Lakes Moraine and Hills Subsection	222Id
405	103	5	Eastern Ontario Lake Plain Subsection	222Ie
406	104	5	Southeast Lake Michigan Plains and Dunes Subsection	222Ja
407	104	5	Southeast Lake Michigan Moraines Subsection	222Jb
408	104	5	Iona Moraines Subsection	222Jc
409	104	5	Bluffton-Ann Arbor Till Plains Subsection	222Je
410	104	5	Lum Interlobate Moraine Subsection	222Jf
411	104	5	Jackson Interlobate Moraine Subsection	222Jg
412	104	5	Kalamazoo-Elkhart Moraines and Plains Subsection	222Jh
413	104	5	Steuben Interlobate Moraines Subsection	222Ji
414	105	5	Central Wisconsin Moraines and Outwash Subsection	222Kb
415	105	5	Lake Winnebago Clay Plain Subsection	222Kc
416	105	5	South Central Wisconsin Prairie and Savannah Subsection	222Kd
417	105	5	Southern Green Bay Lobe Subsection	222Ke
418	105	5	Geneva-Darien Moraines and Till Plains Subsection	222Kf
419	105	5	Kenosha-Lake Michigan Plain and Moraines Subsection	222Kg
420	105	5	Rock River Old Drift Country Subsection	222Kh
421	105	5	Chicago Lake Plain Subsection	222Ki
422	105	5	Valparaiso Moraine Subsection	222Kj
423	106	5	Menominee Eroded Pre-Wisconsinan Till Subsection	222La
424	106	5	Melrose Oak Forest and Savannah Subsection	222Lb
425	106	5	Mississippi-Wisconsin River Ravines Subsection	222Lc
426	106	5	Kickapoo-Wisconsin River Ravines Subsection	222Ld
427	106	5	Mineral Point Prairie-Savannah Subsection	222Le
428	106	5	Western Paleozoic Plateau Subsection	222Lf
429	107	5	Alexandria Moraine-Hardwood Hills Subsection	222Ma
430	107	5	Big Woods Moraines Subsection	222Mb
431	107	5	Anoka Sand Plain Subsection	222Mc
432	107	5	Rosemont Baldwin Plains and Moraines Subsection	222Md
433	107	5	Oak Savannah Till and Loess Plains Subsection	222Me
434	108	5	Aspen Parklands Subsection	222Na
435	109	5	Central Wisconsin Sand Plain Subsection	222Ra
436	109	5	Neilsville Sandstone Plateau Subsection	222Rb
437	110	5	Western Paleozoic Plateau Subsection	222Ua
438	110	5	Mad River Interlobate Plains Subsection	222Ub
439	110	5	Maumee Lake Plain Subsection	222Uc
440	110	5	Southeast Lake Michigan Plains and Dunes Subsection	222Ud
441	110	5	Saginaw Clay Lake and Till Plain Subsection	222Ue
442	111	5	St. Francois Knobs and Basins Subsection	223Aa
443	111	5	Central Plateau Subsection	223Ab
444	111	5	Osage River Hills Subsection	223Ac
445	111	5	Gasconade River Hills Subsection	223Ad
446	111	5	Meramac River Hills Subsection	223Ae
447	111	5	Current River Hills Subsection	223Af
448	111	5	White River Hills Subsection	223Ag
449	111	5	Elk River Hills Subsection	223Ah
450	111	5	Black River Ozark Border Subsection	223Al
451	111	5	Springfield Plain Subsection	223Am
452	111	5	Springfield Plateau Subsection	223An
453	112	5	Brown County Hills Subsection	223Ba
454	112	5	Brush Creek Hills Subsection	223Bb
455	112	5	Mitchell Karst Plains Subsection	223Bc
456	112	5	Western Knobs Subsection	223Bd
457	113	5	Interior Western Coalfields Subsection	223Da
458	113	5	Lower Ohio-Cache-Wabash Alluvial Plains Subsection	223Db
459	113	5	Outer Western Coalfields Subsection	223Dc
460	113	5	Marion Hills Subsection	223Dd
461	113	5	Crawford Uplands Subsection	223De
462	113	5	Crawford Escarpment Subsection	223Df
463	113	5	Southern Dripping Springs Subsection	223Dg
464	113	5	Greater Shawnee Hills Subsection	223Dh
465	113	5	Lesser Shawnee Hills Subsection	223Di
466	113	5	Northern Dripping Springs Subsection	223Dj
467	114	5	Eastern Highland Rim Subsection	223Ea
468	114	5	Eastern Karst Plain Subsection	223Eb
469	114	5	Outer Nashville Basin Subsection	223Ec
470	114	5	Inner Nashville Basin Subsection	223Ed
471	114	5	Highland Rim-Hilly and Rolling Subsection	223Ee
472	114	5	Tennessee-Gasper Valley Subsection	223Ef
473	114	5	Western Pennyroyal Karst Plain Subsection	223Eg
474	114	5	Penneroyal Karst Plain Subsection	223Eh
475	115	5	Outer Bluegrass Subsection	223Fa
476	115	5	Inner Bluegrass Subsection	223Fb
477	115	5	Western Bluegrass Subsection	223Fc
478	115	5	Northern Bluegrass Subsection	223Fd
479	115	5	Muscatatuck Flats and Valleys Subsection	223Fe
480	115	5	Scottsburg Lowland Subsection	223Ff
481	116	5	Effingham Plain Subsection	223Ga
482	116	5	Mount Vernon Hill Country Subsection	223Gb
483	116	5	Lower Wabash Alluvial Plain Subsection	223Gc
484	116	5	Wabash Uplands Subsection	223Gd
485	116	5	Southwest Indiana Glaciated Lowlands Subsection	223Ge
486	111	5	Prairie Ozark Border Subsection	223Ai
487	111	5	Inner Ozark Border Subsection	223Aj
488	111	5	Outer Ozark Border Subsection	223Ak
489	111	5	Missouri River Alluvial Plain Subsection	223Ap
490	111	5	Mississippi River Alluvial Plain Subsection	223Ao
491	111	5	Illinois Ozarks Subsection	223Aq
492	118	5	Midland Plateau Central Uplands Subsection	231Aa
493	118	5	Piedmont Ridge Subsection	231Ab
494	118	5	Schist Plains Subsection	231Ac
495	118	5	Lower Foot Hills Subsection	231Ad
496	118	5	Charlotte Belt Subsection	231Ae
497	118	5	Carolina Slate Subsection	231Af
498	118	5	Schist Hills Subsection	231Ag
499	118	5	Granite Hills Subsection	231Ah
500	118	5	Opelika Plateau Subsection	231Ai
501	118	5	Mica Rich Plateau Subsection	231Aj
502	119	5	Black Belt Subsection	231Ba
503	119	5	Interior Flatwoods Subsection	231Bb
504	119	5	Upper Clay Hills Subsection	231Bc
505	119	5	Upper Loam Hills Subsection	231Bd
506	119	5	Transition Loam Hills Subsection	231Be
507	119	5	Floodplains and Terraces Subsection	231Bf
508	119	5	Jackson Hills Subsection	231Bj
509	119	5	Northern Pontotoc Ridge Subsection	231Bk
510	119	5	Jackson Prairie Subsection	231Bl
511	120	5	Shale Hills and Mountain Subsection	231Ca
512	120	5	Sandstone Plateau Subsection	231Cb
513	120	5	Table Plateau Subsection	231Cc
514	120	5	Sandstone Mountain Subsection	231Cd
515	120	5	Moulton Valley Subsection	231Ce
516	120	5	Southern Cumberland Valleys Subsection	231Cf
517	120	5	Sequatchie Valley Subsection	231Cg
518	121	5	Chert Valley Subsection	231Da
519	121	5	Sandstone-Shale and Chert Ridge Subsection	231Db
520	121	5	Sandstone Ridge Subsection	231Dc
521	121	5	Quartzite and Talladega Slate Ridge Subsection	231Dd
522	121	5	Shaley Limestone Valley Subsection	231De
523	122	5	South Central Arkansas Subsection	231Ea
524	122	5	Southwestern Arkansas Subsection	231Eb
525	122	5	Ouachita Alluvial Valleys Subsection	231Ec
526	122	5	Southern Oklahoma Subsection	231Ee
527	122	5	Piney Woods Transition Subsection	231Ef
528	122	5	Sand Hills Subsection	231Eg
529	122	5	South Central Arkansas Flatwoods Subsection	231Ej
530	122	5	Southwestern Arkansas Blackland Prairie Subsection	231Ek
531	122	5	Red River Alluvial Plain Subsection	231Eo
532	123	5	Eastern Arkansas Valley and Ridges Subsection	231Ga
533	123	5	Mount Magazine Subsection	231Gb
534	123	5	Western Arkansas Valley and Ridges Subsection	231Gc
535	124	5	Deep Loess Hills and Bluffs Subsection	231Ha
536	124	5	Northern Loessial Hills Subsection	231Hb
537	124	5	Deep Loess Plains Subsection	231Hc
538	124	5	Clay Hills Subsection	231Hd
539	124	5	Northern Deep Loess Hills and Bluffs Subsection	231He
540	124	5	Ohio and Cache River Alluvial Plain Subsection	231Hf
541	124	5	Cretaceous Hills Subsection	231Hg
542	124	5	Southern Loessial Plains Subsection	231Hh
543	124	5	Southern Deep Loess Hills and Bluffs Subsection	231Hi
544	125	5	Midland Plateau Central Uplands-North Subsection	231Ia
545	125	5	Lynchburg Belt Subsection	231Ib
546	125	5	Charlotte Belt-North Subsection	231Ic
547	125	5	Carolina Slate-North Subsection	231Id
548	125	5	Southern Triassic Uplands Subsection	231Ie
549	125	5	Western Coastal Plain-Piedmont Transition Subsection	231If
550	125	5	Triassic Uplands Subsection	231Ig
551	126	5	New Jersey Outer Coastal Plain Subsection	232Ab
552	126	5	New Jersey Inner Coastal Plain Subsection	232Ac
553	126	5	Western Chesapeake Uplands Subsection	232Ad
554	127	5	Fragipan Loam Hills Subsection	232Ba
555	127	5	Cintronelle Plains Subsection	232Bc
556	127	5	South Coastal Plains Subsection	232Bg
557	127	5	Gulf Southern Loam Hills Subsection	232Bh
558	127	5	The Plains Subsection	232Bi
559	127	5	Southern Loam Hills Subsection	232Bj
560	127	5	Southern Clay Hills Subsection	232Bk
561	127	5	Lower Loam and Clay Hills Subsection	232Bl
562	127	5	Lower Clay Hills Subsection	232Bm
563	127	5	Lower Loam Hills Subsection	232Bn
564	127	5	Border Sand Hills Subsection	232Bo
565	127	5	Wiregrass Plains Subsection	232Bp
566	127	5	Floodplains and Terraces Subsection	232Bs
567	128	5	Upper Terraces Subsection	232Ca
568	128	5	Lower Terraces Subsection	232Cb
569	128	5	Okefenokee Uplands Subsection	232Cc
570	128	5	Okefenokee Swamp Subsection	232Cd
571	128	5	Coastal Marsh and Island Subsection	232Ce
572	128	5	Bacon Terraces Subsection	232Cf
573	128	5	Flatwoods Floodplains and Terraces Subsection	232Cg
574	129	5	Immokalee Rise Subsection	232Da
575	129	5	Gulf Coastal Lowlands Subsection	232Db
576	130	5	Gulf Coast Prairie Subsection	232Ea
577	130	5	LA-TX Gulf Coast Marshes and Inland Bays Subsection	232Eb
578	130	5	LA Gulf Coast Marshes and Inland Bays Subsection	232Ef
579	131	5	Southern Loam Hills Subsection	232Fa
580	131	5	Southwest Flatwoods Subsection	232Fb
581	131	5	Sabine Alluvial Valley Subsection	232Fc
582	131	5	Piney Woods Transition Subsection	232Fe
583	131	5	Red River Alluvial Plain Subsection	232Ff
584	132	5	Eastern Beach and Lagoons Subsection	232Ga
585	132	5	Eastern Beach and Dunes Subsection	232Gb
586	132	5	Okeechobee Plain Subsection	232Gc
587	132	5	Kissimmee River Subsection	232Gd
588	133	5	Atlantic Southern Loam Hills Subsection	232Ha
589	133	5	Eastern Chesapeake Lowland Subsection	232Hb
590	133	5	Delmarva Outer Coastal Plain Bays and Islands Subsection	232Hc
591	133	5	Delmarva Upland Subsection	232Hd
592	134	5	Lower Terraces Subsection	232Ia
593	134	5	Tidal Area Subsection	232Ib
594	135	5	Sand Hills Subsection	232Ja
595	135	5	Northern Loam Plains Subsection	232Jb
596	135	5	Southwestern Loam Hills Subsection	232Jc
597	135	5	Lower Loam Hills Subsection	232Jd
598	135	5	Atlantic Southern Loam Hills Subsection	232Je
599	135	5	Gulf Southern Loam Hills Subsection	232Jf
600	135	5	Floodplains and Terraces Subsection	232Jg
601	136	5	Florida Northern Highlands Subsection	232Ka
602	136	5	Florida Central Highlands Subsection	232Kb
603	137	5	LA-MS Gulf Coast Flatwoods-Bays and Barrier Islands Subsection	232La
604	137	5	GA-FL Gulf Coast Flatwoods-Bays and Barrier Islands Subsection	232Lb
605	137	5	FL Gulf Coast Flatwoods-Bays and Barrier Islands Subsection	232Lc
606	138	5	Southern Mississippi River Alluvial Plain Subsection	234Aa
607	138	5	Baton Rouge Terrace Subsection	234Ad
608	138	5	Macon Ridge Subsection	234Ah
609	141	5	North Mississippi River Alluvial Plain Subsection	234Da
610	140	5	Red River Alluvial Plain Subsection	234Ca
611	140	5	Atchafalaya Alluvial Plain Subsection	234Cb
612	140	5	Teche Terrace Subsection	234Cc
613	140	5	Opelousas Ridge Subsection	234Cd
614	141	5	Crowley's Ridge Subsection	234Db
615	141	5	White and Black Rivers Alluvial Plain Subsection	234Dc
616	141	5	St. Francis River Alluvial Plain Subsection	234Do
617	142	5	Arkansas Alluvial Plain Subsection	234Ea
618	142	5	Arkansas Grand Prairie Subsection	234Eb
619	142	5	Bastrop Ridge Subsection	234Ec
620	143	5	Fraser Lowland Subsection	242Aa
621	143	5	Eastern Puget Riverine Lowlands Subsection	242Ab
622	143	5	San Juan Islands Subsection	242Ac
623	143	5	Olympic Rainshadow Subsection	242Ad
624	143	5	Eastern Puget Uplands Subsection	242Ae
625	143	5	Central Puget Lowlands Subsection	242Af
626	143	5	Southern Puget Prairies Subsection	242Ag
627	143	5	Cowlitz-Chehalis Foothills Subsection	242Ah
628	143	5	Cowlitz-Newaukum Prairie Floodplains Subsection	242Ai
629	144	5	Portland-Vancouver Basin Subsection	242Ba
630	144	5	Prairie Terraces and Floodplains Subsection	242Bb
631	144	5	Valley Foothills Subsection	242Bd
632	145	5	Lake Agassiz Plain Subsection	251Aa
633	145	5	Souris-Agassiz Stratified Fan Deposits Subsection	251Ab
634	146	5	Upper Minnesota River-Des Moines Lobe Subsection	251Ba
635	146	5	Outer Coteau des Prairies Subsection	251Bb
636	146	5	Northwest Iowa Plains Subsection	251Bd
637	146	5	Southern Des Moines Lobe Subsection	251Be
638	146	5	Yankton Hills and Valleys Subsection	251Bf
639	147	5	Deep Loess Hills Subsection	251Ca
640	147	5	Loess Hills Subsection	251Cb
641	147	5	Central Dissected Till and Loess Plain Subsection	251Cc
642	147	5	Claypan Till Plain Subsection	251Cd
643	147	5	West Mississippi River Hills Subsection	251Ce
644	147	5	Mississippi River and Illinois Alluvial Plains Subsection	251Cf
645	147	5	Southeast Iowa Rolling Loess Hills Subsection	251Ch
646	147	5	East Mississippi River Hills Subsection	251Ci
647	147	5	Galesburg Dissected Till Plain Subsection	251Cj
648	147	5	Carlinville Dissected Till Plain Subsection	251Ck
649	148	5	Green River Lowland Subsection	251Da
650	148	5	Western Grand Prairie Subsection	251Db
651	148	5	Northern Grand Prairie Subsection	251Dc
652	148	5	Eastern Grand Prairie Subsection	251Dd
653	148	5	Southern Grand Prairie Subsection	251De
654	148	5	Springfield Plains Subsection	251Df
655	148	5	Kankakee Sands Subsection	251Dg
656	148	5	Kankakee Marsh Subsection	251Dh
657	149	5	Scarped Osage Plains Subsection	251Ea
658	149	5	Cherokee Plains Subsection	251Eb
728	160	5	Antelope Plain Subsection	262Ax
729	160	5	South Valley Alluvium and Basins Subsection	262Ay
730	160	5	Elk Hills and South Valley Terraces Subsection	262Az
731	161	5	Northern Franciscan Redwood Forest Subsection	263Ab
732	161	5	Humboldt Bay Flats and Terraces Subsection	263Ae
733	161	5	Central Franciscan Subsection	263Af
734	161	5	Coastal Franciscan Subsection	263Ag
735	161	5	Coastal Hills-Santa Rosa Plain Subsection	263Aj
736	161	5	Marin Hills and Valleys Subsection	263Al
737	161	5	Mount St. Helena Flows and Valleys Subsection	263Am
738	162	5	San Juan Basin-Mesa Verde Subsection	313Aa
739	162	5	Canyon of Ancients-Blanding Basin Subsection	313Ab
740	162	5	Monument Upwarp Subsection	313Ac
741	162	5	Glen Canyon Subsection	313Ad
742	162	5	Escalante Subsection	313Ae
743	162	5	Kaiparowits Plateau	313Af
744	162	5	Kaibab Uplift Subsection	313Ag
745	162	5	Shinarump Steppe Subsection	313Ah
746	162	5	Vermilion Cliffs-Navajo Steppe Subsection	313Ai
747	162	5	Kolob-Skutunpah Terraces and Cliffs Subsection	313Aj
748	162	5	Cold Desert-Great Basin Sagebrush Subsection	313Ak
749	162	5	Grand Wash Plains Desert Grass-Shrubland Subsection	313Al
750	162	5	Kaibito Plateau High Desert Shrubland Subsection	313Am
751	162	5	Kaibito Plateau High Plains Grassland Subsection	313An
752	162	5	Grand Canyon Shrub-Woodland Subsection	313Ao
753	162	5	Vermilion Cliffs Woodland Subsection	313Ap
754	162	5	Grand Wash/Aubrey Cliffs Woodland Subsection	313Aq
755	162	5	Kaibab Plateau Montane Conifer Forest Subsection	313Ar
756	162	5	Kaibab Plateau Spruce-Fir Forest Subsection	313As
757	162	5	Gothic Mesas Carrizo Mountains Subsection	313At
758	163	5	Chuska Mountains Woodland Subsection	313Ba
759	163	5	Chuska Valley Cold Desert Shrubland Subsection	313Bc
760	163	5	Chaco Basin High Desert Shrubland Subsection	313Bd
761	163	5	San Juan Basin North Subsection	313Be
762	163	5	San Mateo Mountains Woodlands Subsection	313Bo
763	163	5	San Mateo Mountains Coniferous Forest Subsection	313Bp
764	164	5	Verde Plains Desert Grass-Shrubland Subsection	313Ca
